tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
23	SP1	43.006	44.453	1.447	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 [a:h] si si si	[a:h] si si si	ah si si si
24	SP2	44.503	47.509	3.006	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	 e:h si che era un hotel che è lì su via indipen[denza]	e:h si che era un hotel che è lì su via indipen[denza]	eh si che era un hotel che è lì su via indipendenza
25	SP1	47.202	49.263	2.061	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 [anche] cremonini dicono che sia (spetto)	[anche] cremonini dicono che sia (spetto)	anche cremonini dicono che sia spetto
26	SP2	49.276	51.699	2.423	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	7	 e::h non l'ho ancora incontrato [cremonini] {ride}	e::h non l'ho ancora incontrato [cremonini] {ride}	eh non l' ho ancora incontrato cremonini {ride}
27	SP1	50.496	52.006	1.51	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 [neanche io] mai	[neanche io] mai	neanche io mai
28	SP2	52.496	58.754	6.258	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	24	 però ho detto sì tre anni perché io ci andavo nel duemila diciotto, diciannove sì tre anni che sono lì °non ho ancora xx quindi° {ride}	però ho detto sì tre anni perché io ci andavo nel duemila diciotto, diciannove sì tre anni che sono lì °non ho ancora xx quindi° {ride}	però ho detto sì tre anni perché io ci andavo nel duemila diciotto diciannove sì tre anni che sono lì non ho ancora xx quindi {ride}
29	SP1	58.896	61.579	2.683	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	9	 vabbé magari dai [quest'anno sarà {ride} l'anno] buono	vabbé magari dai [quest'anno sarà {ride} l'anno] buono	vabbé magari dai quest' anno sarà {ride} l' anno buono
30	SP2	60.092	61.404	1.312	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 [ah sì chissà]	[ah sì chissà]	ah sì chissà
31	SP2	61.584	62.377	0.793	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 allora perfetto	allora perfetto	allora perfetto
32	SP1	62.797	68.819	6.022	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	19	 e anche m:h {P} per il fatto che hanno messo le luci con le scritte delle canzo[ni cosa ne pensi]?	e anche m:h {P} per il fatto che hanno messo le luci con le scritte delle canzo[ni cosa ne pensi]?	e anche mh {P} per il fatto che hanno messo le luci con le scritte delle canzoni cosa ne pensi
33	SP2	67.595	71.278	3.683	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 [a:h bello] quello m:i è piaciuto molto si si quello:	[a:h bello] quello m:i è piaciuto molto si si quello:	ah bello quello mi è piaciuto molto si si quello
34	SP2	72.202	78.54	6.338	True	0	0	0	0	0	0	0	0	False	False	False	False	True	35=0.410,36=0.448	0	0	0	21	 ci stava secondo [me] perché ghe: dai cremonini comunque è il cantante di bolo- cioè a parte lucio dalla ovviamente però	ci stava secondo [me] perché ghe: dai cremonini comunque è il cantante di bolo- cioè a parte lucio dalla ovviamente però	ci stava secondo me perché ghe dai cremonini comunque è il cantante di bolo- cioè a parte lucio dalla ovviamente però
35	SP1	73.103	73.513	0.41	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [bello]	[bello]	bello
36	SP1	76.404	76.852	0.448	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [sì]	[sì]	sì
37	SP1	78.595	80.234	1.639	True	0	0	0	0	0	0	0	0	False	False	False	False	True	38=0.442	0	0	0	7	 che poi hanno messo anche le <sue>	che poi hanno messo anche le <sue>	che poi hanno messo anche le sue
38	SP2	79.792	81.639	1.847	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 [e infatti] poi >hanno messo< [hanno messo] anche le sue	[e infatti] poi >hanno messo< [hanno messo] anche le sue	e infatti poi hanno messo hanno messo anche le sue
39	SP1	80.579	81.049	0.47	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [si si]	[si si]	si si
40	SP2	82.207	83.202	0.995	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 e::h	e::h	eh
41	SP2	83.382	86.459	3.077	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 però ci sta e:h cantante moderno [diciamo più::]	però ci sta e:h cantante moderno [diciamo più::]	però ci sta eh cantante moderno diciamo più
42	SP1	85.387	86.748	1.361	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 [mhmh] anche secondo °me°	[mhmh] anche secondo °me°	mhmh anche secondo me
43	SP2	86.808	87.896	1.088	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 più <bolognese>	più <bolognese>	più bolognese
44	SP1	88.601	91.573	2.972	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 invece:: il tuo posto del cuore di <bologna>?	invece:: il tuo posto del cuore di <bologna>?	invece il tuo posto del cuore di bologna
45	SP1	91.797	95.726	3.929	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 non so anche solo un <bar> [a cui sei] particolarmente affezionata?	non so anche solo un <bar> [a cui sei] particolarmente affezionata?	non so anche solo un bar a cui sei particolarmente affezionata
46	SP2	93.491	94.142	0.651	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [mhmh]	[mhmh]	mhmh
47	SP2	96.497	96.956	0.459	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 mh	mh	mh
48	SP2	98.885	101.327	2.442	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 e::h forse:: m:h	e::h forse:: m:h	eh forse mh
49	SP2	102.196	106.0	3.804	True	0	0	0	0	0	0	0	0	False	False	False	False	True	50=0.301	0	1	0	10	 mangiare un gelato seduti su:lle gradine di piazza santo stefano {ride}	mangiare un gelato seduti su:lle gradine di piazza santo stefano {ride}	mangiare un gelato seduti sulle gradine di piazza santo stefano {ride}
50	SP1	105.699	106.196	0.497	True	0	0	0	0	0	0	0	0	False	False	False	False	True	49=0.301	0	0	0	1	 a::h	a::h	ah
51	SP1	106.431	107.54	1.109	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 lì è [<bellissimo>]	lì è [<bellissimo>]	lì è bellissimo
52	SP2	106.901	111.098	4.197	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	17	 [piazza di:] piazza santo stefano mi piace molto poi c'è di fianco la mia gelateria preferita	[piazza di:] piazza santo stefano mi piace molto poi c'è di fianco la mia gelateria preferita	piazza di piazza santo stefano mi piace molto poi c' è di fianco la mia gelateria preferita
53	SP2	111.513	118.141	6.628	True	0	0	0	0	0	0	0	0	False	False	False	False	True	54=0.481	0	0	0	25	 e quindi spesso d'estate con il mio ragazzo andiamo: andiamo lì prendiamo un gelato e ci sediamo:: in piazz[a: san]to stefano °forse quello [sì]°	e quindi spesso d'estate con il mio ragazzo andiamo: andiamo lì prendiamo un gelato e ci sediamo:: in piazz[a: san]to stefano °forse quello [sì]°	e quindi spesso d' estate con il mio ragazzo andiamo andiamo lì prendiamo un gelato e ci sediamo in piazza santo stefano forse quello sì
54	SP1	116.502	116.983	0.481	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [bello]	[bello]	bello
55	SP1	118.204	118.983	0.779	True	0	0	0	0	0	0	0	0	False	False	False	False	True	_	0	0	0	1	 [be]llissimo	[be]llissimo	bellissimo
56	SP1	119.245	123.319	4.074	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	14	 e in generale bologna {P} la ritieni che sia una bella città in cui vivere:	e in generale bologna {P} la ritieni che sia una bella città in cui vivere:	e in generale bologna {P} la ritieni che sia una bella città in cui vivere
57	SP2	124.209	127.069	2.86	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	 sì si si si secondo me: è una bella città in cui vivere	sì si si si secondo me: è una bella città in cui vivere	sì si si si secondo me è una bella città in cui vivere
58	SP2	127.606	128.811	1.205	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 e::h m:h	e::h m:h	eh mh
59	SP2	129.405	130.341	0.936	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 non so	non so	non so
60	SP2	130.657	134.213	3.556	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	9	 se {P} poterci vivere forse con una famiglia [em::h l-]	se {P} poterci vivere forse con una famiglia [em::h l-]	se {P} poterci vivere forse con una famiglia emh l-
61	SP1	133.311	135.564	2.253	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 [okay quindi un po'] per giova[ni magari]	[okay quindi un po'] per giova[ni magari]	okay quindi un po' per giovani magari
62	SP2	134.752	137.35	2.598	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 [sì secondo me] è una città più per giovani per studenti:	[sì secondo me] è una città più per giovani per studenti:	sì secondo me è una città più per giovani per studenti
63	SP2	138.119	139.905	1.786	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 perché mh	perché mh	perché mh
64	SP2	140.551	145.512	4.961	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	19	 sì ci sono molte attività: che puoi fare poi sicuramente ci sono cose anche per per le famiglie chiaramente	sì ci sono molte attività: che puoi fare poi sicuramente ci sono cose anche per per le famiglie chiaramente	sì ci sono molte attività che puoi fare poi sicuramente ci sono cose anche per per le famiglie chiaramente
65	SP2	146.153	149.26	3.107	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 però:: mi sembra un po' più a misura di: di giova[ni]	però:: mi sembra un po' più a misura di: di giova[ni]	però mi sembra un po' più a misura di di giovani
66	SP1	149.102	149.465	0.363	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [mhmh]	[mhmh]	mhmh
67	SP2	149.559	150.846	1.287	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 che: che famiglia	che: che famiglia	che che famiglia
68	SP1	150.991	153.901	2.91	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 e: per esempio i suoi punti forti secondo te quali sono?	e: per esempio i suoi punti forti secondo te quali sono?	e per esempio i suoi punti forti secondo te quali sono
69	SP2	154.495	156.572	2.077	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 ah i punti forti::	ah i punti forti::	ah i punti forti
70	SP2	156.807	157.905	1.098	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 sicuramente:	sicuramente:	sicuramente
71	SP2	158.559	159.611	1.052	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 m::h	m::h	mh
72	SP2	159.841	162.858	3.017	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 la storia cioè l'architettura, il il centro stori[co eh]	la storia cioè l'architettura, il il centro stori[co eh]	la storia cioè l' architettura il il centro storico eh
73	SP1	162.41	162.777	0.367	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [mhmh]	[mhmh]	mhmh
74	SP2	163.098	165.846	2.748	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 proprio piena di:: m:h dalle torri	proprio piena di:: m:h dalle torri	proprio piena di mh dalle torri
75	SP2	165.995	170.923	4.928	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	 a::: san petronio insomma è proprio bella a livello >secondo me< architettonico:	a::: san petronio insomma è proprio bella a livello >secondo me< architettonico:	a san petronio insomma è proprio bella a livello secondo me architettonico
76	SP2	171.162	171.935	0.773	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 storico	storico	storico
77	SP2	172.555	179.661	7.106	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	25	 e:::h poi la vita {P} c'è sempre un sacco di cose da fare se xx esci è pieno di gente [in centro in] tutti i locali:	e:::h poi la vita {P} c'è sempre un sacco di cose da fare se xx esci è pieno di gente [in centro in] tutti i locali:	eh poi la vita {P} c' è sempre un sacco di cose da fare se xx esci è pieno di gente in centro in tutti i locali
78	SP1	178.257	178.911	0.654	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [è vero]	[è vero]	è vero
79	SP2	180.106	183.5	3.394	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 e::h poi senti che arriva: è molto vissuta come città	e::h poi senti che arriva: è molto vissuta come città	eh poi senti che arriva è molto vissuta come città
80	SP2	184.397	189.32	4.923	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	17	 e::h poi vabbè ci sono concerti, stadio c(io)è ci sono tante cose da fare:: se se vuoi:	e::h poi vabbè ci sono concerti, stadio c(io)è ci sono tante cose da fare:: se se vuoi:	eh poi vabbè ci sono concerti stadio cioè ci sono tante cose da fare se se vuoi
81	SP2	189.69	192.707	3.017	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 se vuoi viverla quindi secondo me queste sono un [po':]	se vuoi viverla quindi secondo me queste sono un [po':]	se vuoi viverla quindi secondo me queste sono un po'
82	SP1	192.508	194.795	2.287	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 [i mezzi] di trasporto: anche:	[i mezzi] di trasporto: anche:	i mezzi di trasporto anche
83	SP2	194.812	199.022	4.21	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	 e::h i mezzi di trasporto: >come dicevo< se sei in centro s- dentro alle mura:	e::h i mezzi di trasporto: >come dicevo< se sei in centro s- dentro alle mura:	eh i mezzi di trasporto come dicevo se sei in centro s- dentro alle mura
84	SP2	199.696	202.58	2.884	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 m::h vai in bicicletta, vai a piedi ovunque	m::h vai in bicicletta, vai a piedi ovunque	mh vai in bicicletta vai a piedi ovunque
85	SP2	202.812	203.762	0.95	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 menomale	menomale	menomale
86	SP2	204.475	208.215	3.74	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 anche l'autobus secondo me funziona abbastanza bene n:on mi sembra:	anche l'autobus secondo me funziona abbastanza bene n:on mi sembra:	anche l' autobus secondo me funziona abbastanza bene non mi sembra
87	SP2	208.911	209.513	0.602	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 c(io)è	c(io)è	cioè
88	SP2	209.806	212.033	2.227	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 particolarmente: inefficenti	particolarmente: inefficenti	particolarmente inefficenti
